c [mM],best Homo,best Hetero,MC 75% Homo lo,MC 75% Homo hi,MC 75% Hetero lo,MC 75% Hetero hi
10.0,3.634394073980652,4.167174933837022,3.4725794997329342,3.79620864822837,4.015910245322491,4.318439622351553
14.89795918367347,2.5449008176910377,3.1106700841719466,2.403215592110217,2.6865860432718582,2.9791242518820513,3.242215916461842
19.79591836734694,1.856320362927752,2.439913071639497,1.7352275416092409,1.9774131842462632,2.3316877808323144,2.54813836244668
24.693877551020407,1.3859120501065252,1.9798502405862664,1.2831437271574664,1.488680373055584,1.8894737949995248,2.0702266861730076
29.591836734693878,1.0463410665466792,1.6474497299411344,0.9578633981878177,1.1348187349055407,1.568572140023599,1.7263273198586697
34.48979591836735,0.7908884262964082,1.3981147016166575,0.7146961446502512,0.8670807079425652,1.3281411633268168,1.4680882399064983
39.38775510204081,0.5924399569916656,1.2049346647945214,0.5266364695770649,0.6582434444062664,1.1408789797119123,1.2689903498771304
44.285714285714285,0.434225777574631,1.0512949642795562,0.3768683264530024,0.4915832286962596,0.9894902118632496,1.1130997166958627
49.183673469387756,0.3053787937049077,0.9264508726071838,0.25448365064229006,0.3562739367675254,0.8665975101808056,0.9863042350335621
54.08163265306123,0.19856522048987335,0.8231654634621015,0.15365059394543068,0.24347984703431602,0.7638759268187775,0.8824550001054255
58.9795918367347,0.10867043959112666,0.7364012630573309,0.06894537438694925,0.14839550479530406,0.6775290255983394,0.7952735005163224
63.87755102040816,0.03202271833361081,0.6625484420908574,-0.003960181266030149,0.06800561793325177,0.6028724214133565,0.7222244627683583
68.77551020408163,-0.03405830332086213,0.5989767144940021,-0.06677294526647459,-0.0013436613752496607,0.5386830089456577,0.6592704200423466
73.6734693877551,-0.09159017654585755,0.5437093658011154,-0.12191744622706002,-0.061262906864655076,0.4827585759737605,0.6046601556284703
78.57142857142857,-0.14211315770911925,0.4952397109349804,-0.1705611099418427,-0.1136652054763958,0.4337874010071754,0.5566920208627855
83.46938775510205,-0.18681942579709165,0.452403383281033,-0.21361550854682643,-0.16002334304735688,0.39100242477983393,0.5138043417822321
88.36734693877551,-0.22664881795289915,0.4142837571630569,-0.2521145861181985,-0.20118304978759982,0.3515708988304327,0.47699661549568106
93.26530612244898,-0.2623528247177349,0.3801488490280711,-0.2872561317646337,-0.2374495176708361,0.31648796580357674,0.4438097322525655
98.16326530612245,-0.2945300294616464,0.3494165771458837,-0.31901761236685566,-0.27004244655643717,0.28470799262294644,0.41412516166882096
103.06122448979592,-0.32367454344812474,0.3216068759539952,-0.3475463153439202,-0.29980277155232926,0.25572449910080586,0.3874892528071845
107.9591836734694,-0.3501925854011825,0.29632555149962236,-0.37393662466988653,-0.3264485461324784,0.22934222622587208,0.36330887677337265
112.85714285714286,-0.37441904022978045,0.2732480696800281,-0.3981813504633439,-0.350656729996217,0.2060301553598871,0.34046598400016914
117.75510204081633,-0.3966359916535076,0.2521013023250944,-0.42015726075728,-0.3731147225497352,0.18400481654386824,0.3201977881063206
122.6530612244898,-0.41707898308328906,0.2326574917245372,-0.44074412408142294,-0.3934138420851552,0.16401704360357072,0.3012979398455037
127.55102040816327,-0.43594972961067313,0.2147217221294695,-0.4599396284027134,-0.41195983081863286,0.14516962972859904,0.28427381453033995
132.44897959183675,-0.4534219264137427,0.19812626164508762,-0.4777089308572081,-0.42913492197027725,0.12796329984647836,0.2682892234436969
137.3469387755102,-0.46964297032562063,0.1827289645025827,-0.49407872057284274,-0.4452072200783985,0.11220100575145864,0.25325692325370674
142.24489795918367,-0.4847413714741715,0.16840596203475267,-0.5095295264346124,-0.45995321651373067,0.09713554014537484,0.2396763839241305
147.14285714285714,-0.49882871980173116,0.15504978164028893,-0.5237148452153988,-0.4739425943880635,0.08325519220422783,0.22684437107635003
152.0408163265306,-0.5120019175661885,0.14256718585861172,-0.5374076947346547,-0.48659614039772237,0.07005036295521139,0.21508400876201206
156.9387755102041,-0.52434589464012,0.13087651729212535,-0.5499322349066992,-0.4987595543735409,0.05778986517582485,0.20396316940842585
161.83673469387756,-0.5359344231395244,0.11990693487943549,-0.5617279536295119,-0.510140892649537,0.04630301197064168,0.1935108577882293
166.73469387755102,-0.5468328628358621,0.1095957116971431,-0.5729427919094131,-0.520722933762311,0.03544397056175774,0.18374745283252847
171.6326530612245,-0.5571005671346199,0.09988586582176584,-0.5833559669208553,-0.5308451673483844,0.02520902573465167,0.17456270590888
176.53061224489795,-0.5667906236074685,0.09072645133003254,-0.5933517352866603,-0.5402295119282766,0.015646849976821642,0.16580605268324344
181.42857142857144,-0.5759496786809919,0.08207276070212322,-0.6029088681170288,-0.548990489244955,0.0062123316138239515,0.15793318979042248
186.3265306122449,-0.5846193744497765,0.07388491136999464,-0.611941514933786,-0.557297233965767,-0.0023958380856360373,0.15016566082562532
191.22448979591837,-0.5928372656203114,0.06612694898798255,-0.6207354241333859,-0.5649391071072368,-0.010569479409365479,0.14282337738533057
196.12244897959184,-0.6006372027570857,0.05876648173631294,-0.628856512055654,-0.5724178934585173,-0.018265760386206198,0.13579872385883207
201.0204081632653,-0.6080497154091447,0.05177431247895026,-0.6365528790730791,-0.5795465517452102,-0.025632360787090747,0.12918098574499126
205.9183673469388,-0.6151024129246085,0.04512405130120012,-0.6438104809491264,-0.5863943449000907,-0.03270568586051448,0.12295378846291471
210.81632653061226,-0.6218202441406131,0.03879186751788399,-0.650903878965712,-0.5927366093155142,-0.03944878021882803,0.11703251525459601
215.71428571428572,-0.6282256602546474,0.03275633707967396,-0.6574479681707915,-0.5990033523385033,-0.04593238003090072,0.11144505419024864
220.6122448979592,-0.6343393093849472,0.026997757066645978,-0.6638401902967126,-0.6048384284731818,-0.052168841354530704,0.10616435548782266
225.51020408163265,-0.6401805674513072,0.021497622803965832,-0.6700377700702234,-0.6103233648323911,-0.05810115007879901,0.10109639568673068
230.40816326530611,-0.6457669419432963,0.016239231173705626,-0.6758207551454245,-0.6157131287411681,-0.06348517687967004,0.09596363922708129
235.3061224489796,-0.6511143795375691,0.011207379281103602,-0.6813830273071232,-0.620845731768015,-0.06863509199711215,0.09104985055931936
240.20408163265307,-0.656237466908633,0.006388169233280561,-0.6866721297818901,-0.625802804035376,-0.07375333666392525,0.08652967513048637
245.10204081632654,-0.6611497151929968,0.0017687286581304917,-0.6918077527612277,-0.6304916776247659,-0.07855374711322771,0.0820912044294887
250.0,-0.6658632911073075,-0.0026625159619313443,-0.6967393884621008,-0.6349871937525141,-0.08319313213324864,0.07786810020938595
