c [mM],best recog (Mg),best recog (Ca),MC 98% recog lo (Mg),MC 98% recog hi (Mg),MC 98% recog lo (Ca),MC 98% recog hi (Ca)
10.0,-0.42773852035561255,-0.5327808598563699,-0.5329205758645663,-0.3225564648466588,-0.609282201006603,-0.4562795187061368
14.89795918367347,-0.46002966095497033,-0.5657692664809089,-0.5924894750034828,-0.32756984690645785,-0.6592704850072686,-0.4722680479545491
19.79591836734694,-0.47943383344465396,-0.5835927087117452,-0.6349095481207231,-0.3239581187685848,-0.6900478752809606,-0.4771375421425298
24.693877551020407,-0.49173899739473415,-0.5939381904797412,-0.6663382972425571,-0.31713969754691124,-0.7121989783526663,-0.475677402606816
29.591836734693878,-0.4998717438872595,-0.6011086633944551,-0.6902160230897502,-0.3095274646847689,-0.7280832404928671,-0.47413408629604314
34.48979591836735,-0.5054891785746047,-0.6072262753202493,-0.709141090360285,-0.3018372667889245,-0.7396629487528494,-0.4747896018876492
39.38775510204081,-0.5101795311309067,-0.6124947078028558,-0.7244970446849779,-0.2958620175768356,-0.7483255001797159,-0.4766639154259956
44.285714285714285,-0.514341079717169,-0.6170691867049252,-0.7371994063875782,-0.29148275304675986,-0.7551956471726751,-0.47894272623717526
49.183673469387756,-0.5180521314597892,-0.6210720789022761,-0.7478770361771316,-0.2882272267424469,-0.7607670036917975,-0.4813771541127547
54.08163265306123,-0.5213776482703618,-0.6246002429722282,-0.7569756421789144,-0.2857796543618092,-0.7654038827435203,-0.483796603200936
58.9795918367347,-0.5243716559552662,-0.6277308234662042,-0.7648196473885707,-0.2839236645219618,-0.7694348481981207,-0.4860267987342878
63.87755102040816,-0.5270792052056568,-0.6305257237572466,-0.7716506590698398,-0.28250775134147377,-0.7729816246962384,-0.48806982281825473
68.77551020408163,-0.5295379910858387,-0.6330350178148643,-0.7776518696501316,-0.28142411252154576,-0.7761264183022885,-0.4899436173274401
73.6734693877551,-0.5317796825863703,-0.635299542346973,-0.7829617582383921,-0.28059760693434854,-0.7789338291959902,-0.4916652554979557
78.57142857142857,-0.5338310060115745,-0.6373528686440997,-0.787695782005254,-0.279966230017895,-0.7814553269625131,-0.4932504103256863
83.46938775510205,-0.5357146234677534,-0.6392228090781247,-0.7919425137578342,-0.27948673317767275,-0.7837324254133287,-0.49471319274292064
88.36734693877551,-0.5374498437371322,-0.640932575115956,-0.7957732954983021,-0.27912639197596234,-0.7857989782205193,-0.49606617201139275
93.26530612244898,-0.5390531976218096,-0.642501673745806,-0.799246224649127,-0.27886017059449225,-0.7876817132381493,-0.49732163425346276
98.16326530612245,-0.5405389044290341,-0.6439466066075301,-0.8024090847967271,-0.278668724061341,-0.7894036496237593,-0.4984895635913009
103.06122448979592,-0.5419192512851563,-0.6452814194021199,-0.8053015326479329,-0.2785369699223797,-0.7909856496007399,-0.4995771892034999
107.9591836734694,-0.5432049026791623,-0.6465181369008048,-0.8079567521230108,-0.2784530532353139,-0.7924440907544996,-0.5005921830471101
112.85714285714286,-0.5444051540932269,-0.6476671099098086,-0.810402720913345,-0.27840758727310877,-0.7937928927383627,-0.5015413270812544
117.75510204081633,-0.5455281407166344,-0.648737293978602,-0.8126631912962342,-0.2783930901370345,-0.7950439614519796,-0.5024306265052244
122.6530612244898,-0.5465810099608377,-0.6497364748078263,-0.8147584575874731,-0.2784035623342022,-0.7962075402946911,-0.5032654093209614
127.55102040816327,-0.5475700646930033,-0.6506714517401426,-0.8167059624164734,-0.2784341669695332,-0.7973222747582179,-0.5040206287220673
132.44897959183675,-0.5485008826879594,-0.6515481880588303,-0.8185207799313523,-0.2784809854445665,-0.798384852277356,-0.5047115238403046
137.3469387755102,-0.5493784166842306,-0.6523719348282033,-0.8202160040924893,-0.27854082927597185,-0.7993808098094253,-0.5053630598469814
142.24489795918367,-0.550207078553079,-0.6531473335089242,-0.8218030630906998,-0.2786110940154583,-0.8003162174529411,-0.5059784495649072
147.14285714285714,-0.5509908103987238,-0.6538785014420201,-0.8232919757666876,-0.27868964503076,-0.8011964301044618,-0.5065605727795783
